"ATF3","ATF4","BHLHE40","CEBPB","CEBPD","DDIT3","E2F1","E2F8","ELF3","FOS","FOSB","FOSL2","GATA5","HES1","HMGA1","HMGA2","JUN","JUNB","JUND","KLF10","KLF4","KLF5","KLF6","MAFF","MAFG","MAFK","MYBL2","RBPJL","SOX11","SOX4","SOX9","YBX1","Attr_Size"
1,1,0,1,1,1,0.5,0.5,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0.5,1,0,1,1,0,235
1,1,0.5,0.5,0.5,0.5,1,1,1,1,0.5,0.5,1,0,1,1,0,0.5,0,0.5,1,0,0,0,0,1,1,1,0.5,0.5,0,1,201
1,1,1,0,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0.5,0,0,0,1,1,542
0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,1,1,0,0,0.5,0,0,0.5,0.5,0,0,0,0,1,0,0,0,1,6
1,1,0,1,1,1,1,1,0.5,1,1,0,0.5,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0.5,1,1,0,135
1,1,0,0,0,0.5,1,1,0.5,1,0.5,0.5,0.5,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,327
0.5,1,0.5,0,1,0.5,0,0,1,1,1,0.5,1,0.5,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0.5,1,78
1,1,0,0,0,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0,1,1,0,0,0,0,1,0,0,0,0,1,0.5,1,0,0,0,1,320
0.5,1,0.5,0,1,0.5,0.5,0.5,1,1,1,0.5,1,0.5,0,0,1,1,1,0,0,0,1,0,0,1,0.5,0,0,0,0.5,0,69
1,1,0,0,0,0.5,0.5,0.5,1,1,0.5,0.5,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5,1,0,0,0,0,191
